,number_of_group,type_occasion,start_date,end_date,internal_occasion,device,devicecode,qauntity_package_one,quantity_package_double,>420,r-a
0,17,pack,2019-08-21 02:21:03,2019-08-21 02:22:11,1,140,28441,,,,
0,17,receipt,2019-08-21 02:24:04,2019-08-21 02:24:29,0,140,28441,0,1,,
0,18,pack,2019-08-21 02:26:24,2019-08-21 02:27:16,1,140,28441,,,,
0,18,receipt,2019-08-21 02:27:42,2019-08-21 02:27:57,0,140,28441,0,1,,
0,19,pack,2019-08-21 02:28:35,2019-08-21 02:29:24,1,140,28441,,,,
0,19,pack,2019-08-21 02:30:06,2019-08-21 02:30:48,1,140,28441,,,,
0,19,pack,2019-08-21 02:31:30,2019-08-21 02:32:31,1,140,28441,,,,
0,19,receipt,2019-08-21 02:32:49,2019-08-21 02:33:58,0,140,28441,0,3,,
0,20,pack,2019-08-21 02:56:18,2019-08-21 02:57:08,1,140,28441,,,,
0,20,receipt,2019-08-21 02:56:14,2019-08-21 02:58:13,1,140,28441,0,1,,
0,21,pack,2019-08-21 04:59:31,2019-08-21 05:00:22,1,140,28441,,,,
0,21,receipt,2019-08-21 05:02:20,2019-08-21 05:02:30,0,140,28441,0,1,,
0,22,pack,2019-08-21 05:05:48,2019-08-21 05:06:36,1,140,28441,,,,
0,22,pack,2019-08-21 05:07:34,2019-08-21 05:08:25,1,140,28441,,,,
0,22,receipt,2019-08-21 05:08:58,2019-08-21 05:09:27,0,140,28441,0,2,,
0,23,pack,2019-08-21 05:10:03,2019-08-21 05:10:47,1,140,28441,,,,
0,23,receipt,2019-08-21 05:11:15,2019-08-21 05:11:32,0,140,28441,0,1,,
0,24,pack,2019-08-21 05:14:08,2019-08-21 05:14:49,1,140,28441,,,,
0,24,receipt,2019-08-21 05:15:38,2019-08-21 05:15:59,0,140,28441,0,1,,
0,25,pack,2019-08-21 05:30:01,2019-08-21 05:30:47,1,140,28441,,,,
0,25,receipt,2019-08-21 05:31:52,2019-08-21 05:32:12,0,140,28441,0,1,,
0,26,pack,2019-08-21 05:36:21,2019-08-21 05:37:25,1,140,28441,,,,
0,26,receipt,2019-08-21 05:38:42,2019-08-21 05:38:55,0,140,28441,0,1,,
0,27,pack,2019-08-21 05:44:17,2019-08-21 05:45:02,1,140,28441,,,,
0,1,pack,2019-08-21 00:00:41,2019-08-21 00:01:16,1,155,2928,,,,
0,1,pack,2019-08-21 00:01:39,2019-08-21 00:02:17,1,155,2928,,,,
0,1,pack,2019-08-21 00:02:34,2019-08-21 00:03:16,1,155,2928,,,,
0,1,receipt,2019-08-21 00:03:41,2019-08-21 00:04:15,0,155,2928,0,3,,
0,2,pack,2019-08-21 00:05:04,2019-08-21 00:05:36,1,155,2928,,,,
0,2,pack,2019-08-21 00:06:13,2019-08-21 00:06:43,1,155,2928,,,,
0,2,receipt,2019-08-21 00:07:28,2019-08-21 00:07:59,0,155,2928,0,2,,
0,3,pack,2019-08-21 00:10:37,2019-08-21 00:11:11,1,155,2928,,,,
0,3,pack,2019-08-21 00:11:47,2019-08-21 00:12:21,1,155,2928,,,,
0,3,receipt,2019-08-21 00:12:51,2019-08-21 00:13:18,0,155,2928,0,2,,
0,4,pack,2019-08-21 00:13:53,2019-08-21 00:14:34,1,155,2928,,,,
0,4,receipt,2019-08-21 00:15:10,2019-08-21 00:15:12,0,155,2928,0,1,,
0,5,pack,2019-08-21 00:25:41,2019-08-21 00:26:18,1,155,2928,,,,
0,5,receipt,2019-08-21 00:26:51,2019-08-21 00:26:55,0,155,2928,0,1,,
0,6,pack,2019-08-21 00:29:14,2019-08-21 00:29:50,1,155,2928,,,,
0,6,receipt,2019-08-21 00:30:05,2019-08-21 00:30:17,0,155,2928,0,1,,
0,7,pack,2019-08-21 00:35:04,2019-08-21 00:35:37,1,155,2928,,,,
0,7,receipt,2019-08-21 00:36:23,2019-08-21 00:38:33,0,155,2928,0,1,,
0,8,pack,2019-08-21 01:24:46,2019-08-21 01:25:28,1,155,2928,,,,
0,8,receipt,2019-08-21 01:26:16,2019-08-21 01:26:18,0,155,2928,0,1,,
0,9,pack,2019-08-21 01:27:19,2019-08-21 01:28:06,1,155,2928,,,,
0,9,alarm,2019-08-21 01:27:48,None,1,155,2928,,,,
0,9,issue,2019-08-21 01:28:06,None,1,155,2928,,,,
0,9,issue,2019-08-21 01:28:06,None,1,155,2928,,,,
0,9,pack,2019-08-21 01:28:29,2019-08-21 01:29:00,1,155,2928,,,,
0,9,receipt,2019-08-21 01:29:24,2019-08-21 01:29:26,0,155,2928,0,1,,
0,10,pack,2019-08-21 01:39:36,2019-08-21 01:40:14,1,155,2928,,,,
0,10,pack,2019-08-21 01:40:49,2019-08-21 01:41:17,1,155,2928,,,,
0,10,issue,2019-08-21 01:41:17,None,1,155,2928,,,,
0,10,receipt,2019-08-21 01:39:25,2019-08-21 01:41:44,1,155,2928,2,0,,
0,11,pack,2019-08-21 01:42:23,2019-08-21 01:42:58,1,155,2928,,,,
0,11,receipt,2019-08-21 01:43:45,2019-08-21 01:43:48,0,155,2928,0,1,,
0,12,pack,2019-08-21 01:44:43,2019-08-21 01:45:14,1,155,2928,,,,
0,12,pack,2019-08-21 01:46:18,2019-08-21 01:46:45,1,155,2928,,,,
0,12,issue,2019-08-21 01:46:45,None,1,155,2928,,,,
0,12,receipt,2019-08-21 01:47:13,2019-08-21 01:47:16,0,155,2928,2,0,,
0,13,pack,2019-08-21 01:50:13,2019-08-21 01:50:46,1,155,2928,,,,
0,13,receipt,2019-08-21 01:51:22,2019-08-21 01:51:24,0,155,2928,0,1,,
0,14,pack,2019-08-21 01:52:00,2019-08-21 01:52:30,1,155,2928,,,,
0,14,issue,2019-08-21 01:52:30,None,1,155,2928,,,,
0,14,issue,2019-08-21 01:52:30,None,1,155,2928,,,,
0,14,pack,2019-08-21 01:52:49,2019-08-21 01:53:10,1,155,2928,,,,
0,14,issue,2019-08-21 01:53:10,None,1,155,2928,,,,
0,14,pack,2019-08-21 01:53:48,2019-08-21 01:54:22,1,155,2928,,,,
0,14,pack,2019-08-21 01:54:52,2019-08-21 01:55:30,1,155,2928,,,,
0,14,receipt,2019-08-21 01:55:49,2019-08-21 01:56:51,0,155,2928,1,0,,
0,14,receipt,2019-08-21 01:56:59,2019-08-21 01:57:37,0,155,2928,1,0,,
0,14,receipt,2019-08-21 01:57:44,2019-08-21 01:58:19,0,155,2928,1,0,,
0,15,pack,2019-08-21 01:59:08,2019-08-21 01:59:43,1,155,2928,,,,
0,15,receipt,2019-08-21 02:00:09,2019-08-21 02:00:11,0,155,2928,0,1,,
0,16,pack,2019-08-21 02:00:44,2019-08-21 02:01:18,1,155,2928,,,,
0,16,receipt,2019-08-21 02:01:52,2019-08-21 02:01:55,0,155,2928,0,1,,
0,17,pack,2019-08-21 02:23:11,2019-08-21 02:23:50,1,155,2928,,,,
0,17,receipt,2019-08-21 02:24:25,2019-08-21 02:24:34,0,155,2928,0,1,,
0,18,pack,2019-08-21 02:25:06,2019-08-21 02:25:42,1,155,2928,,,,
0,18,receipt,2019-08-21 02:26:01,2019-08-21 02:26:21,0,155,2928,0,1,,
0,19,pack,2019-08-21 02:26:51,2019-08-21 02:27:23,1,155,2928,,,,
0,19,receipt,2019-08-21 02:27:44,2019-08-21 02:27:47,0,155,2928,0,1,,
0,20,pack,2019-08-21 02:28:21,2019-08-21 02:28:58,1,155,2928,,,,
0,20,pack,2019-08-21 02:29:31,2019-08-21 02:30:05,1,155,2928,,,,
0,20,pack,2019-08-21 02:31:00,2019-08-21 02:31:40,1,155,2928,,,,
0,20,receipt,2019-08-21 02:32:23,2019-08-21 02:32:26,0,155,2928,0,3,,
0,21,pack,2019-08-21 02:33:05,2019-08-21 02:33:40,1,155,2928,,,,
0,21,pack,2019-08-21 02:34:18,2019-08-21 02:34:53,1,155,2928,,,,
0,21,pack,2019-08-21 02:35:32,2019-08-21 02:36:09,1,155,2928,,,,
0,21,receipt,2019-08-21 02:36:51,2019-08-21 02:37:17,0,155,2928,0,3,,
0,22,pack,2019-08-21 02:37:49,2019-08-21 02:38:18,1,155,2928,,,,
0,22,issue,2019-08-21 02:38:18,None,1,155,2928,,,,
0,22,pack,2019-08-21 02:38:45,2019-08-21 02:39:16,1,155,2928,,,,
0,22,receipt,2019-08-21 02:40:06,2019-08-21 02:40:14,0,155,2928,0,2,,
0,23,pack,2019-08-21 02:41:18,2019-08-21 02:41:59,1,155,2928,,,,
0,23,receipt,2019-08-21 02:42:41,2019-08-21 02:42:43,0,155,2928,0,1,,
0,24,pack,2019-08-21 03:50:52,2019-08-21 03:51:28,1,155,2928,,,,
0,24,receipt,2019-08-21 03:52:04,2019-08-21 03:52:06,0,155,2928,0,1,,
0,25,pack,2019-08-21 03:52:42,2019-08-21 03:53:17,1,155,2928,,,,
0,25,receipt,2019-08-21 03:53:52,2019-08-21 03:53:54,0,155,2928,0,1,,
0,26,pack,2019-08-21 03:56:22,2019-08-21 03:57:03,1,155,2928,,,,
0,26,receipt,2019-08-21 03:57:45,2019-08-21 03:57:48,0,155,2928,0,1,,
0,27,pack,2019-08-21 03:58:14,2019-08-21 03:58:52,1,155,2928,,,,
0,27,receipt,2019-08-21 03:59:23,2019-08-21 03:59:25,0,155,2928,0,1,,
0,28,pack,2019-08-21 04:06:38,2019-08-21 04:07:23,1,155,2928,,,,
0,28,receipt,2019-08-21 04:07:51,2019-08-21 04:07:53,0,155,2928,0,1,,
0,29,pack,2019-08-21 04:18:41,2019-08-21 04:19:13,1,155,2928,,,,
0,29,receipt,2019-08-21 04:19:40,2019-08-21 04:19:42,0,155,2928,0,1,,
0,30,pack,2019-08-21 04:21:01,2019-08-21 04:21:37,1,155,2928,,,,
0,30,receipt,2019-08-21 04:22:02,2019-08-21 04:22:48,0,155,2928,0,1,,
0,31,pack,2019-08-21 04:53:28,2019-08-21 04:54:10,1,155,2928,,,,
0,31,receipt,2019-08-21 04:54:22,2019-08-21 04:55:01,0,155,2928,0,1,,
0,32,pack,2019-08-21 04:55:49,2019-08-21 04:56:26,1,155,2928,,,,
0,32,pack,2019-08-21 04:56:54,2019-08-21 04:57:31,1,155,2928,,,,
0,32,pack,2019-08-21 04:58:05,2019-08-21 04:58:56,1,155,2928,,,,
0,32,receipt,2019-08-21 04:59:17,2019-08-21 04:59:36,0,155,2928,0,3,,
0,33,pack,2019-08-21 05:14:56,2019-08-21 05:15:38,1,155,2928,,,,
0,33,receipt,2019-08-21 05:16:36,2019-08-21 05:16:38,0,155,2928,0,1,,
0,34,pack,2019-08-21 05:17:17,2019-08-21 05:17:45,1,155,2928,,,,
0,34,issue,2019-08-21 05:17:45,None,1,155,2928,,,,
0,34,receipt,2019-08-21 05:18:10,2019-08-21 05:18:13,0,155,2928,1,0,,
0,35,pack,2019-08-21 05:27:27,2019-08-21 05:27:55,1,155,2928,,,,
0,35,issue,2019-08-21 05:27:55,None,1,155,2928,,,,
0,35,receipt,2019-08-21 05:29:22,2019-08-21 05:29:52,0,155,2928,1,0,,
0,36,pack,2019-08-21 05:30:50,2019-08-21 05:31:20,1,155,2928,,,,
0,36,receipt,2019-08-21 05:31:49,2019-08-21 05:32:19,0,155,2928,0,1,,
0,37,pack,2019-08-21 05:36:57,2019-08-21 05:37:32,1,155,2928,,,,
